net,length_um
net6,74.07µm
net7,59.36µm
_04_,41.88µm
net10,38.5µm
_05_,38µm
_09_,30.76µm
clknet_0_clk,28.66µm
net17,28.17µm
_08_,27.52µm
net9,22.86µm
net15,22.54µm
clk,22.3µm
_16_,22.09µm
net11,18.985µm
D[0],18.3µm
Q[1],18.13µm
D[2],17.76µm
Q[3],16.55µm
mode[1],15.84µm
net4,15.48µm
_19_,15.42µm
net12,13.42µm
_06_,12.96µm
S_in,12.86µm
clknet_1_0__leaf_clk,12.34µm
Q[2],12.28µm
net13,12.2µm
D[1],11.42µm
_14_,11.04µm
mode[0],11.02µm
Q[0],10.77µm
net3,10.62µm
_07_,10µm
_02_,9.985µm
net1,9.72µm
clknet_1_1__leaf_clk,9.36µm
_17_,8.98µm
_18_,8.855µm
rst,8.36µm
net2,8.32µm
D[3],8.26µm
net5,8.24µm
_01_,8.14µm
_03_,6.76µm
_11_,6.275µm
_12_,5.96µm
net8,5.8µm
net16,4.125µm
net19,3.25µm
_10_,2.505µm
_00_,2.5µm
_15_,2.3µm
_13_,2.16µm
net14,1.405µm
net18,1.405µm
