Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_11_71,VGND,li1,37.9500,38.0800,0.000003
FILLER_11_68,VGND,li1,37.0300,38.0800,0.000003
FILLER_11_65,VGND,li1,35.6500,38.0800,0.000003
FILLER_11_53,VGND,li1,30.1300,38.0800,0.000002
FILLER_11_50,VGND,li1,28.7500,38.0800,0.000002
FILLER_11_32,VGND,li1,20.2400,38.0800,0.000002
FILLER_11_29,VGND,li1,19.0900,38.0800,0.000002
FILLER_11_27,VGND,li1,17.7100,38.0800,0.000002
FILLER_11_24,VGND,li1,16.7900,38.0800,0.000002
FILLER_11_21,VGND,li1,15.4100,38.0800,0.000002
FILLER_11_18,VGND,li1,14.0300,38.0800,0.000002
FILLER_11_15,VGND,li1,12.6500,38.0800,0.000002
FILLER_11_12,VGND,li1,11.2700,38.0800,0.000002
FILLER_11_9,VGND,li1,9.8900,38.0800,0.000002
FILLER_11_6,VGND,li1,8.5100,38.0800,0.000002
FILLER_11_3,VGND,li1,7.1300,38.0800,0.000002
FILLER_10_70,VGND,li1,37.7200,32.6400,0.000057
FILLER_10_40,VGND,li1,23.9200,32.6400,0.000036
FILLER_10_29,VGND,li1,19.0900,32.6400,0.000036
FILLER_10_27,VGND,li1,17.7100,32.6400,0.000036
FILLER_10_24,VGND,li1,16.7900,32.6400,0.000036
FILLER_10_21,VGND,li1,15.4100,32.6400,0.000036
FILLER_10_18,VGND,li1,14.0300,32.6400,0.000036
FILLER_10_15,VGND,li1,12.6500,32.6400,0.000036
FILLER_10_12,VGND,li1,11.2700,32.6400,0.000036
FILLER_10_9,VGND,li1,9.8900,32.6400,0.000036
FILLER_10_6,VGND,li1,8.5100,32.6400,0.000036
FILLER_10_3,VGND,li1,7.1300,32.6400,0.000036
FILLER_9_70,VGND,li1,37.7200,32.6400,0.000057
FILLER_9_67,VGND,li1,36.5700,32.6400,0.000057
FILLER_9_57,VGND,li1,31.7400,32.6400,0.000057
FILLER_9_33,VGND,li1,20.9300,32.6400,0.000036
FILLER_9_30,VGND,li1,19.5500,32.6400,0.000036
FILLER_9_27,VGND,li1,18.1700,32.6400,0.000036
FILLER_9_24,VGND,li1,16.7900,32.6400,0.000036
FILLER_9_21,VGND,li1,15.4100,32.6400,0.000036
FILLER_9_18,VGND,li1,14.0300,32.6400,0.000036
FILLER_9_15,VGND,li1,12.6500,32.6400,0.000036
FILLER_9_12,VGND,li1,11.2700,32.6400,0.000036
FILLER_9_9,VGND,li1,9.8900,32.6400,0.000036
FILLER_9_6,VGND,li1,8.5100,32.6400,0.000036
FILLER_9_3,VGND,li1,7.1300,32.6400,0.000036
FILLER_8_71,VGND,li1,37.9500,27.2000,0.000017
FILLER_8_52,VGND,li1,29.4400,27.2000,0.000014
FILLER_8_29,VGND,li1,18.6300,27.2000,0.000009
FILLER_8_27,VGND,li1,17.7100,27.2000,0.000009
FILLER_8_24,VGND,li1,16.7900,27.2000,0.000009
FILLER_8_21,VGND,li1,15.4100,27.2000,0.000009
FILLER_8_18,VGND,li1,14.0300,27.2000,0.000009
FILLER_8_15,VGND,li1,12.6500,27.2000,0.000009
FILLER_8_12,VGND,li1,11.2700,27.2000,0.000009
FILLER_8_9,VGND,li1,9.8900,27.2000,0.000009
FILLER_8_6,VGND,li1,8.5100,27.2000,0.000009
FILLER_8_3,VGND,li1,7.1300,27.2000,0.000009
FILLER_7_71,VGND,li1,37.9500,27.2000,0.000017
FILLER_7_68,VGND,li1,37.0300,27.2000,0.000017
FILLER_7_65,VGND,li1,35.6500,27.2000,0.000017
FILLER_7_55,VGND,li1,30.5900,27.2000,0.000014
FILLER_7_36,VGND,li1,22.0800,27.2000,0.000009
FILLER_7_33,VGND,li1,20.9300,27.2000,0.000009
FILLER_7_30,VGND,li1,19.5500,27.2000,0.000009
FILLER_7_27,VGND,li1,18.1700,27.2000,0.000009
FILLER_7_24,VGND,li1,16.7900,27.2000,0.000009
FILLER_7_21,VGND,li1,15.4100,27.2000,0.000009
FILLER_7_18,VGND,li1,14.0300,27.2000,0.000009
FILLER_7_15,VGND,li1,12.6500,27.2000,0.000009
FILLER_7_12,VGND,li1,11.2700,27.2000,0.000009
FILLER_7_9,VGND,li1,9.8900,27.2000,0.000009
FILLER_7_6,VGND,li1,8.5100,27.2000,0.000009
FILLER_7_3,VGND,li1,7.1300,27.2000,0.000009
FILLER_6_70,VGND,li1,37.7200,21.7600,0.000065
FILLER_6_48,VGND,li1,27.6000,21.7600,0.000053
FILLER_6_45,VGND,li1,26.4500,21.7600,0.000044
FILLER_6_38,VGND,li1,23.0000,21.7600,0.000036
FILLER_6_35,VGND,li1,21.8500,21.7600,0.000036
FILLER_6_32,VGND,li1,20.4700,21.7600,0.000036
FILLER_6_29,VGND,li1,19.0900,21.7600,0.000036
FILLER_6_27,VGND,li1,17.7100,21.7600,0.000036
FILLER_6_24,VGND,li1,16.7900,21.7600,0.000036
FILLER_6_21,VGND,li1,15.4100,21.7600,0.000036
FILLER_6_18,VGND,li1,14.0300,21.7600,0.000036
