Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_11_71,VPWR,li1,37.9500,35.3600,1.799943
FILLER_11_68,VPWR,li1,37.0300,35.3600,1.799943
FILLER_11_65,VPWR,li1,35.6500,35.3600,1.799943
FILLER_11_53,VPWR,li1,30.1300,35.3600,1.799949
FILLER_11_50,VPWR,li1,28.7500,35.3600,1.799949
FILLER_11_32,VPWR,li1,20.2400,35.3600,1.799970
FILLER_11_29,VPWR,li1,19.0900,35.3600,1.799970
FILLER_11_27,VPWR,li1,17.7100,35.3600,1.799970
FILLER_11_24,VPWR,li1,16.7900,35.3600,1.799970
FILLER_11_21,VPWR,li1,15.4100,35.3600,1.799970
FILLER_11_18,VPWR,li1,14.0300,35.3600,1.799970
FILLER_11_15,VPWR,li1,12.6500,35.3600,1.799970
FILLER_11_12,VPWR,li1,11.2700,35.3600,1.799970
FILLER_11_9,VPWR,li1,9.8900,35.3600,1.799970
FILLER_11_6,VPWR,li1,8.5100,35.3600,1.799970
FILLER_11_3,VPWR,li1,7.1300,35.3600,1.799970
FILLER_10_70,VPWR,li1,37.7200,35.3600,1.799943
FILLER_10_40,VPWR,li1,23.9200,35.3600,1.799963
FILLER_10_29,VPWR,li1,19.0900,35.3600,1.799970
FILLER_10_27,VPWR,li1,17.7100,35.3600,1.799970
FILLER_10_24,VPWR,li1,16.7900,35.3600,1.799970
FILLER_10_21,VPWR,li1,15.4100,35.3600,1.799970
FILLER_10_18,VPWR,li1,14.0300,35.3600,1.799970
FILLER_10_15,VPWR,li1,12.6500,35.3600,1.799970
FILLER_10_12,VPWR,li1,11.2700,35.3600,1.799970
FILLER_10_9,VPWR,li1,9.8900,35.3600,1.799970
FILLER_10_6,VPWR,li1,8.5100,35.3600,1.799970
FILLER_10_3,VPWR,li1,7.1300,35.3600,1.799970
FILLER_9_70,VPWR,li1,37.7200,29.9200,1.799970
FILLER_9_67,VPWR,li1,36.5700,29.9200,1.799970
FILLER_9_57,VPWR,li1,31.7400,29.9200,1.799972
FILLER_9_33,VPWR,li1,20.9300,29.9200,1.799984
FILLER_9_30,VPWR,li1,19.5500,29.9200,1.799984
FILLER_9_27,VPWR,li1,18.1700,29.9200,1.799984
FILLER_9_24,VPWR,li1,16.7900,29.9200,1.799984
FILLER_9_21,VPWR,li1,15.4100,29.9200,1.799984
FILLER_9_18,VPWR,li1,14.0300,29.9200,1.799984
FILLER_9_15,VPWR,li1,12.6500,29.9200,1.799984
FILLER_9_12,VPWR,li1,11.2700,29.9200,1.799984
FILLER_9_9,VPWR,li1,9.8900,29.9200,1.799984
FILLER_9_6,VPWR,li1,8.5100,29.9200,1.799984
FILLER_9_3,VPWR,li1,7.1300,29.9200,1.799984
FILLER_8_71,VPWR,li1,37.9500,29.9200,1.799970
FILLER_8_52,VPWR,li1,29.4400,29.9200,1.799973
FILLER_8_29,VPWR,li1,18.6300,29.9200,1.799984
FILLER_8_27,VPWR,li1,17.7100,29.9200,1.799984
FILLER_8_24,VPWR,li1,16.7900,29.9200,1.799984
FILLER_8_21,VPWR,li1,15.4100,29.9200,1.799984
FILLER_8_18,VPWR,li1,14.0300,29.9200,1.799984
FILLER_8_15,VPWR,li1,12.6500,29.9200,1.799984
FILLER_8_12,VPWR,li1,11.2700,29.9200,1.799984
FILLER_8_9,VPWR,li1,9.8900,29.9200,1.799984
FILLER_8_6,VPWR,li1,8.5100,29.9200,1.799984
FILLER_8_3,VPWR,li1,7.1300,29.9200,1.799984
FILLER_7_71,VPWR,li1,37.9500,24.4800,1.799923
FILLER_7_68,VPWR,li1,37.0300,24.4800,1.799923
FILLER_7_65,VPWR,li1,35.6500,24.4800,1.799923
FILLER_7_55,VPWR,li1,30.5900,24.4800,1.799930
FILLER_7_36,VPWR,li1,22.0800,24.4800,1.799964
FILLER_7_33,VPWR,li1,20.9300,24.4800,1.799964
FILLER_7_30,VPWR,li1,19.5500,24.4800,1.799964
FILLER_7_27,VPWR,li1,18.1700,24.4800,1.799964
FILLER_7_24,VPWR,li1,16.7900,24.4800,1.799964
FILLER_7_21,VPWR,li1,15.4100,24.4800,1.799964
FILLER_7_18,VPWR,li1,14.0300,24.4800,1.799964
FILLER_7_15,VPWR,li1,12.6500,24.4800,1.799964
FILLER_7_12,VPWR,li1,11.2700,24.4800,1.799964
FILLER_7_9,VPWR,li1,9.8900,24.4800,1.799964
FILLER_7_6,VPWR,li1,8.5100,24.4800,1.799964
FILLER_7_3,VPWR,li1,7.1300,24.4800,1.799964
FILLER_6_70,VPWR,li1,37.7200,24.4800,1.799923
FILLER_6_48,VPWR,li1,27.6000,24.4800,1.799945
FILLER_6_45,VPWR,li1,26.4500,24.4800,1.799945
FILLER_6_38,VPWR,li1,23.0000,24.4800,1.799957
FILLER_6_35,VPWR,li1,21.8500,24.4800,1.799964
FILLER_6_32,VPWR,li1,20.4700,24.4800,1.799964
FILLER_6_29,VPWR,li1,19.0900,24.4800,1.799964
FILLER_6_27,VPWR,li1,17.7100,24.4800,1.799964
FILLER_6_24,VPWR,li1,16.7900,24.4800,1.799964
FILLER_6_21,VPWR,li1,15.4100,24.4800,1.799964
FILLER_6_18,VPWR,li1,14.0300,24.4800,1.799964
FILLER_6_15,VPWR,li1,12.6500,24.4800,1.799964
FILLER_6_12,VPWR,li1,11.2700,24.4800,1.799964
FILLER_6_9,VPWR,li1,9.8900,24.4800,1.799964
FILLER_6_6,VPWR,li1,8.5100,24.4800,1.799964
FILLER_6_3,VPWR,li1,7.1300,24.4800,1.799964
FILLER_5_63,VPWR,li1,34.2700,19.0400,1.799980
FILLER_5_60,VPWR,li1,33.3500,19.0400,1.799980
FILLER_5_57,VPWR,li1,31.9700,19.0400,1.799982
FILLER_5_45,VPWR,li1,26.4500,19.0400,1.799985
FILLER_5_42,VPWR,li1,25.0700,19.0400,1.799987
FILLER_5_39,VPWR,li1,23.6900,19.0400,1.799989
FILLER_5_36,VPWR,li1,22.3100,19.0400,1.799991
FILLER_5_33,VPWR,li1,20.9300,19.0400,1.799991
FILLER_5_30,VPWR,li1,19.5500,19.0400,1.799991
FILLER_5_27,VPWR,li1,18.1700,19.0400,1.799991
FILLER_5_24,VPWR,li1,16.7900,19.0400,1.799991
FILLER_5_21,VPWR,li1,15.4100,19.0400,1.799991
FILLER_5_18,VPWR,li1,14.0300,19.0400,1.799991
FILLER_5_15,VPWR,li1,12.6500,19.0400,1.799991
FILLER_5_12,VPWR,li1,11.2700,19.0400,1.799991
FILLER_5_9,VPWR,li1,9.8900,19.0400,1.799991
FILLER_5_6,VPWR,li1,8.5100,19.0400,1.799991
FILLER_5_3,VPWR,li1,7.1300,19.0400,1.799991
FILLER_4_71,VPWR,li1,37.9500,19.0400,1.799980
FILLER_4_37,VPWR,li1,22.5400,19.0400,1.799989
FILLER_4_29,VPWR,li1,18.8600,19.0400,1.799991
FILLER_4_27,VPWR,li1,17.7100,19.0400,1.799991
FILLER_4_24,VPWR,li1,16.7900,19.0400,1.799991
FILLER_4_21,VPWR,li1,15.4100,19.0400,1.799991
FILLER_4_18,VPWR,li1,14.0300,19.0400,1.799991
FILLER_4_15,VPWR,li1,12.6500,19.0400,1.799991
FILLER_4_12,VPWR,li1,11.2700,19.0400,1.799991
FILLER_4_9,VPWR,li1,9.8900,19.0400,1.799991
FILLER_4_6,VPWR,li1,8.5100,19.0400,1.799991
FILLER_4_3,VPWR,li1,7.1300,19.0400,1.799991
FILLER_3_71,VPWR,li1,37.9500,13.6000,1.799922
FILLER_3_68,VPWR,li1,37.0300,13.6000,1.799922
FILLER_3_55,VPWR,li1,30.5900,13.6000,1.799930
FILLER_3_28,VPWR,li1,18.1700,13.6000,1.799962
FILLER_3_21,VPWR,li1,14.9500,13.6000,1.799962
FILLER_3_18,VPWR,li1,14.0300,13.6000,1.799962
FILLER_3_15,VPWR,li1,12.6500,13.6000,1.799962
FILLER_3_12,VPWR,li1,11.2700,13.6000,1.799962
FILLER_3_9,VPWR,li1,9.8900,13.6000,1.799962
FILLER_3_6,VPWR,li1,8.5100,13.6000,1.799962
FILLER_3_3,VPWR,li1,7.1300,13.6000,1.799962
FILLER_2_32,VPWR,li1,20.4700,13.6000,1.799962
FILLER_2_29,VPWR,li1,19.0900,13.6000,1.799962
FILLER_2_18,VPWR,li1,13.8000,13.6000,1.799962
FILLER_2_15,VPWR,li1,12.6500,13.6000,1.799962
FILLER_2_12,VPWR,li1,11.2700,13.6000,1.799962
FILLER_2_9,VPWR,li1,9.8900,13.6000,1.799962
FILLER_2_6,VPWR,li1,8.5100,13.6000,1.799962
FILLER_2_3,VPWR,li1,7.1300,13.6000,1.799962
FILLER_1_71,VPWR,li1,37.9500,8.1600,1.799988
FILLER_1_68,VPWR,li1,37.0300,8.1600,1.799988
FILLER_1_57,VPWR,li1,31.9700,8.1600,1.799989
FILLER_1_54,VPWR,li1,30.3600,8.1600,1.799989
FILLER_1_20,VPWR,li1,14.4900,8.1600,1.799990
FILLER_1_9,VPWR,li1,9.8900,8.1600,1.799990
FILLER_1_6,VPWR,li1,8.5100,8.1600,1.799990
FILLER_1_3,VPWR,li1,7.1300,8.1600,1.799990
FILLER_0_62,VPWR,li1,34.0400,8.1600,1.799988
FILLER_0_29,VPWR,li1,19.0900,8.1600,1.799991
FILLER_0_9,VPWR,li1,9.8900,8.1600,1.799990
FILLER_0_6,VPWR,li1,8.5100,8.1600,1.799990
FILLER_0_3,VPWR,li1,7.1300,8.1600,1.799990
hold19,VPWR,li1,26.2200,35.3600,1.799956
hold18,VPWR,li1,33.1200,24.4800,1.799923
hold17,VPWR,li1,34.0400,29.9200,1.799970
hold16,VPWR,li1,28.9800,8.1600,1.799989
hold15,VPWR,li1,23.9200,8.1600,1.799990
hold14,VPWR,li1,33.1200,13.6000,1.799922
hold13,VPWR,li1,34.5000,8.1600,1.799988
clkbuf_1_1__f_clk,VPWR,li1,32.6600,35.3600,1.799943
clkbuf_1_0__f_clk,VPWR,li1,33.5800,13.6000,1.799922
clkbuf_0_clk,VPWR,li1,32.6600,24.4800,1.799923
output12,VPWR,li1,36.3400,8.1600,1.799988
output11,VPWR,li1,33.1200,35.3600,1.799943
output10,VPWR,li1,28.9800,19.0400,1.799983
output9,VPWR,li1,36.3400,19.0400,1.799980
input8,VPWR,li1,22.5400,35.3600,1.799970
input7,VPWR,li1,20.2400,13.6000,1.799962
input6,VPWR,li1,12.4200,8.1600,1.799990
input5,VPWR,li1,16.1000,8.1600,1.799990
input4,VPWR,li1,21.6200,8.1600,1.799992
input3,VPWR,li1,12.4200,8.1600,1.799990
input2,VPWR,li1,21.6200,35.3600,1.799970
input1,VPWR,li1,16.1000,13.6000,1.799962
TAP_TAPCELL_ROW_11_37,VPWR,li1,31.0500,35.6660,1.799943
TAP_TAPCELL_ROW_11_36,VPWR,li1,18.1700,35.6660,1.799970
TAP_TAPCELL_ROW_10_35,VPWR,li1,18.1700,35.0530,1.799970
TAP_TAPCELL_ROW_9_34,VPWR,li1,31.0500,30.2260,1.799973
TAP_TAPCELL_ROW_8_33,VPWR,li1,18.1700,29.6130,1.799984
TAP_TAPCELL_ROW_7_32,VPWR,li1,31.0500,24.7860,1.799930
TAP_TAPCELL_ROW_6_31,VPWR,li1,18.1700,24.1730,1.799964
TAP_TAPCELL_ROW_5_30,VPWR,li1,31.0500,19.3460,1.799982
TAP_TAPCELL_ROW_4_29,VPWR,li1,18.1700,18.7330,1.799991
TAP_TAPCELL_ROW_3_28,VPWR,li1,31.0500,13.9060,1.799930
TAP_TAPCELL_ROW_2_27,VPWR,li1,18.1700,13.2930,1.799962
TAP_TAPCELL_ROW_1_26,VPWR,li1,31.0500,8.4660,1.799989
TAP_TAPCELL_ROW_0_25,VPWR,li1,31.0500,7.8530,1.799989
TAP_TAPCELL_ROW_0_24,VPWR,li1,18.1700,7.8530,1.799990
PHY_EDGE_ROW_11_Left_23,VPWR,li1,5.7500,35.3600,1.799970
PHY_EDGE_ROW_10_Left_22,VPWR,li1,5.7500,35.3600,1.799970
PHY_EDGE_ROW_9_Left_21,VPWR,li1,5.7500,29.9200,1.799984
PHY_EDGE_ROW_8_Left_20,VPWR,li1,5.7500,29.9200,1.799984
PHY_EDGE_ROW_7_Left_19,VPWR,li1,5.7500,24.4800,1.799964
PHY_EDGE_ROW_6_Left_18,VPWR,li1,5.7500,24.4800,1.799964
PHY_EDGE_ROW_5_Left_17,VPWR,li1,5.7500,19.0400,1.799991
PHY_EDGE_ROW_4_Left_16,VPWR,li1,5.7500,19.0400,1.799991
PHY_EDGE_ROW_3_Left_15,VPWR,li1,5.7500,13.6000,1.799962
PHY_EDGE_ROW_2_Left_14,VPWR,li1,5.7500,13.6000,1.799962
PHY_EDGE_ROW_1_Left_13,VPWR,li1,5.7500,8.1600,1.799990
PHY_EDGE_ROW_0_Left_12,VPWR,li1,5.7500,8.1600,1.799990
PHY_EDGE_ROW_11_Right_11,VPWR,li1,38.8700,35.3600,1.799943
PHY_EDGE_ROW_10_Right_10,VPWR,li1,38.8700,35.3600,1.799943
PHY_EDGE_ROW_9_Right_9,VPWR,li1,38.8700,29.9200,1.799970
PHY_EDGE_ROW_8_Right_8,VPWR,li1,38.8700,29.9200,1.799970
PHY_EDGE_ROW_7_Right_7,VPWR,li1,38.8700,24.4800,1.799923
PHY_EDGE_ROW_6_Right_6,VPWR,li1,38.8700,24.4800,1.799923
PHY_EDGE_ROW_5_Right_5,VPWR,li1,38.8700,19.0400,1.799980
PHY_EDGE_ROW_4_Right_4,VPWR,li1,38.8700,19.0400,1.799980
PHY_EDGE_ROW_3_Right_3,VPWR,li1,38.8700,13.6000,1.799922
PHY_EDGE_ROW_2_Right_2,VPWR,li1,38.8700,13.6000,1.799922
PHY_EDGE_ROW_1_Right_1,VPWR,li1,38.8700,8.1600,1.799988
PHY_EDGE_ROW_0_Right_0,VPWR,li1,38.8700,8.1600,1.799988
_43_,VPWR,li1,33.8100,19.0400,1.799980
_42_,VPWR,li1,26.9100,29.9200,1.799975
_41_,VPWR,li1,33.8100,29.9200,1.799970
_40_,VPWR,li1,25.0700,13.6000,1.799945
_39_,VPWR,li1,27.8300,19.0400,1.799985
_38_,VPWR,li1,20.2400,8.1600,1.799991
_37_,VPWR,li1,24.3800,24.4800,1.799957
_36_,VPWR,li1,24.3800,19.0400,1.799987
_35_,VPWR,li1,26.2200,35.3600,1.799956
_34_,VPWR,li1,28.0600,13.6000,1.799937
_33_,VPWR,li1,23.9200,13.6000,1.799955
_32_,VPWR,li1,16.5600,13.6000,1.799962
_31_,VPWR,li1,26.9100,29.9200,1.799975
_30_,VPWR,li1,28.2900,24.4800,1.799938
_29_,VPWR,li1,23.2300,29.9200,1.799981
_28_,VPWR,li1,20.2400,29.9200,1.799984
_27_,VPWR,li1,27.8300,8.1600,1.799989
_26_,VPWR,li1,25.3000,8.1600,1.799990
_25_,VPWR,li1,24.6100,24.4800,1.799957
_24_,VPWR,li1,32.4300,8.1600,1.799988
_23_,VPWR,li1,16.5600,8.1600,1.799990
_22_,VPWR,li1,20.7000,19.0400,1.799991
_21_,VPWR,li1,22.3100,29.9200,1.799984
_20_,VPWR,li1,35.6500,13.6000,1.799922
